"xod","yod","loc","size","jmangle","jmslope","region"
-9,21,0,1.72,275.42,0.049736,4
-3,21,1,1.72,276.12,-0.16564,4
3,21,2,1.72,281.07,-0.54901,4
9,21,3,1.72,292.98,-1.2362,4
-15,15,4,1.72,267.3,0.47015,4
-9,15,5,1.72,262.35,0.31719,2
-3,15,6,1.72,258.66,0.086584,2
3,15,7,1.72,260.79,-0.30793,2
9,15,8,1.72,276.44,-1.0121,4
15,15,9,1.72,301.5,-2.6878,4
-21,9,10,1.72,264.45,0.92468,2
-15,9,11,1.72,256.15,0.82187,2
-9,9,12,1.72,245.36,0.60966,2
-3,9,13,1.72,236.06,0.2899,2
3,9,14,1.72,234.15,-0.1717,2
9,9,15,1.72,248.93,-0.92313,2
15,9,16,1.72,290,-2.9955,4
21,9,17,1.72,323.53,1.8333,6
-27,3,18,1.72,265.41,1.4608,2
-21,3,19,1.72,257.09,1.4596,2
-15,3,20,1.72,244.05,1.3157,2
-9,3,21,1.72,227.87,0.97284,2
-3,3,22,1.72,213.72,0.56475,2
3,3,23,1.72,205.37,0.096369,1
9,3,24,1.72,214.26,-0.59314,1
15,3,25,1.72,272.31,-5.4612,0
21,3,26,1.72,331.22,0.83333,6
-27,-3,27,1.72,109.3,-1.0493,3
-21,-3,28,1.72,111.96,-1.1552,3
-15,-3,29,1.72,115.89,-1.3362,3
-9,-3,30,1.72,124.36,-1.6662,3
-3,-3,31,1.72,151.01,-1.0162,1
3,-3,32,1.72,162.98,-0.091919,1
9,-3,33,1.72,159.14,0.21006,1
15,-3,34,1.72,104.15,0,0
21,-3,35,1.72,351.25,-0.16667,6
-21,-9,36,1.72,108.77,-0.61638,3
-15,-9,37,1.72,111.39,-0.60611,3
-9,-9,38,1.72,115.35,-0.59242,3
-3,-9,39,1.72,124.03,-0.53297,3
3,-9,40,1.72,133.9,0.0034386,3
9,-9,41,1.72,121.19,0.66288,3
15,-9,42,1.72,77.319,3.5643,5
21,-9,43,1.72,25.733,-1.1667,6
-15,-15,44,1.72,105.77,-0.17646,3
-9,-15,45,1.72,106.59,-0.043674,3
-3,-15,46,1.72,105.87,0.17845,3
3,-15,47,1.72,100.32,0.50826,3
9,-15,48,1.72,87.957,1.0387,5
15,-15,49,1.72,67.851,3.3051,5
-9,-21,50,1.72,97.689,0.26968,5
-3,-21,51,1.72,93.879,0.50397,5
3,-21,52,1.72,86.552,0.79301,5
9,-21,53,1.72,75.875,1.2754,5
