"xod","yod","loc","size","jmangle","jmslope","region"
0,30,0,0.43,0,0,0
-12,24,1,0.43,0,0,0
-6,24,2,0.43,0,0,0
0,24,3,0.43,0,0,0
6,24,4,0.43,0,0,0
12,24,5,0.43,0,0,0
-18,18,6,0.43,0,0,0
-12,18,7,0.43,0,0,0
-6,18,8,0.43,0,0,0
0,18,9,0.43,0,0,0
6,18,10,0.43,0,0,0
12,18,11,0.43,0,0,0
18,18,12,0.43,0,0,0
-24,12,13,0.43,0,0,0
-18,12,14,0.43,0,0,0
-12,12,15,0.43,0,0,0
-6,12,16,0.43,0,0,0
0,12,17,0.43,0,0,0
6,12,18,0.43,0,0,0
12,12,19,0.43,0,0,0
18,12,20,0.43,0,0,0
24,12,21,0.43,0,0,0
-24,6,22,0.43,0,0,0
-18,6,23,0.43,0,0,0
-12,6,24,0.43,0,0,0
-6,6,25,0.43,0,0,0
0,6,26,0.43,0,0,0
6,6,27,0.43,0,0,0
24,6,28,0.43,0,0,0
-30,0,29,0.43,0,0,0
-24,0,30,0.43,0,0,0
-18,0,31,0.43,0,0,0
-12,0,32,0.43,0,0,0
-6,0,33,0.43,0,0,0
6,0,34,0.43,0,0,0
24,0,35,0.43,0,0,0
30,0,36,0.43,0,0,0
-24,-6,37,0.43,0,0,0
-18,-6,38,0.43,0,0,0
-12,-6,39,0.43,0,0,0
-6,-6,40,0.43,0,0,0
0,-6,41,0.43,0,0,0
6,-6,42,0.43,0,0,0
24,-6,43,0.43,0,0,0
-24,-12,44,0.43,0,0,0
-18,-12,45,0.43,0,0,0
-12,-12,46,0.43,0,0,0
-6,-12,47,0.43,0,0,0
6,-12,48,0.43,0,0,0
12,-12,49,0.43,0,0,0
18,-12,50,0.43,0,0,0
24,-12,51,0.43,0,0,0
-18,-18,52,0.43,0,0,0
-12,-18,53,0.43,0,0,0
-6,-18,54,0.43,0,0,0
0,-18,55,0.43,0,0,0
6,-18,56,0.43,0,0,0
12,-18,57,0.43,0,0,0
18,-18,58,0.43,0,0,0
-12,-24,59,0.43,0,0,0
-6,-24,60,0.43,0,0,0
0,-24,61,0.43,0,0,0
6,-24,62,0.43,0,0,0
12,-24,63,0.43,0,0,0
0,-30,64,0.43,0,0,0
