"xod","yod","loc","size","jmangle","jmslope","region"
-30,42,0,3.44,NA,NA,NA
-18,42,1,3.44,NA,NA,NA
-6,42,2,3.44,NA,NA,NA
6,42,3,3.44,NA,NA,NA
18,42,4,3.44,NA,NA,NA
30,42,5,3.44,NA,NA,NA
-54,30,6,3.44,NA,NA,NA
-42,30,7,3.44,NA,NA,NA
-30,30,8,3.44,NA,NA,NA
-18,30,9,3.44,NA,NA,NA
-6,30,10,3.44,NA,NA,NA
6,30,11,3.44,NA,NA,NA
18,30,12,3.44,NA,NA,NA
30,30,13,3.44,NA,NA,NA
42,30,14,3.44,NA,NA,NA
54,30,15,3.44,NA,NA,NA
-54,18,16,3.44,NA,NA,NA
-42,18,17,3.44,NA,NA,NA
-30,18,18,3.44,NA,NA,NA
30,18,19,3.44,NA,NA,NA
42,18,20,3.44,NA,NA,NA
54,18,21,3.44,NA,NA,NA
-54,6,22,3.44,NA,NA,NA
-42,6,23,3.44,NA,NA,NA
-30,6,24,3.44,NA,NA,NA
30,6,25,3.44,NA,NA,NA
42,6,26,3.44,NA,NA,NA
54,6,27,3.44,NA,NA,NA
-54,-6,28,3.44,NA,NA,NA
-42,-6,29,3.44,NA,NA,NA
-30,-6,30,3.44,NA,NA,NA
30,-6,31,3.44,NA,NA,NA
42,-6,32,3.44,NA,NA,NA
54,-6,33,3.44,NA,NA,NA
-54,-18,34,3.44,NA,NA,NA
-42,-18,35,3.44,NA,NA,NA
-30,-18,36,3.44,NA,NA,NA
30,-18,37,3.44,NA,NA,NA
42,-18,38,3.44,NA,NA,NA
54,-18,39,3.44,NA,NA,NA
-42,-30,40,3.44,NA,NA,NA
-30,-30,41,3.44,NA,NA,NA
-18,-30,42,3.44,NA,NA,NA
-6,-30,43,3.44,NA,NA,NA
6,-30,44,3.44,NA,NA,NA
18,-30,45,3.44,NA,NA,NA
30,-30,46,3.44,NA,NA,NA
42,-30,47,3.44,NA,NA,NA
-42,-42,48,3.44,NA,NA,NA
-30,-42,49,3.44,NA,NA,NA
-18,-42,50,3.44,NA,NA,NA
-6,-42,51,3.44,NA,NA,NA
6,-42,52,3.44,NA,NA,NA
18,-42,53,3.44,NA,NA,NA
30,-42,54,3.44,NA,NA,NA
42,-42,55,3.44,NA,NA,NA
-18,-54,56,3.44,NA,NA,NA
-6,-54,57,3.44,NA,NA,NA
6,-54,58,3.44,NA,NA,NA
18,-54,59,3.44,NA,NA,NA
