"xod","yod","loc","size","jmangle","jmslope","region"
-8,26,0,0.43,0,0,0
8,26,1,0.43,0,0,0
-20,20,2,0.43,0,0,0
-12,20,3,0.43,0,0,0
-4,20,4,0.43,0,0,0
4,20,5,0.43,0,0,0
12,20,6,0.43,0,0,0
20,20,7,0.43,0,0,0
-4,14,8,0.43,0,0,0
4,14,9,0.43,0,0,0
-20,12,10,0.43,0,0,0
-12,12,11,0.43,0,0,0
12,12,12,0.43,0,0,0
20,12,13,0.43,0,0,0
-8,8,14,0.43,0,0,0
-2,8,15,0.43,0,0,0
2,8,16,0.43,0,0,0
8,8,17,0.43,0,0,0
26,8,18,0.43,0,0,0
-26,4,19,0.43,0,0,0
-20,4,20,0.43,0,0,0
-14,4,21,0.43,0,0,0
-4,4,22,0.43,0,0,0
4,4,23,0.43,0,0,0
22,4,24,0.43,0,0,0
-8,2,25,0.43,0,0,0
-2,2,26,0.43,0,0,0
2,2,27,0.43,0,0,0
8,2,28,0.43,0,0,0
-8,-2,29,0.43,0,0,0
-2,-2,30,0.43,0,0,0
2,-2,31,0.43,0,0,0
8,-2,32,0.43,0,0,0
-26,-4,33,0.43,0,0,0
-20,-4,34,0.43,0,0,0
-14,-4,35,0.43,0,0,0
-4,-4,36,0.43,0,0,0
4,-4,37,0.43,0,0,0
22,-4,38,0.43,0,0,0
-8,-8,39,0.43,0,0,0
-3,-9,40,0.43,0,0,0
3,-9,41,0.43,0,0,0
8,-8,42,0.43,0,0,0
26,-8,43,0.43,0,0,0
-20,-12,44,0.43,0,0,0
-12,-12,45,0.43,0,0,0
12,-12,46,0.43,0,0,0
20,-12,47,0.43,0,0,0
-4,-14,48,0.43,0,0,0
4,-14,49,0.43,0,0,0
-20,-20,50,0.43,0,0,0
-12,-20,51,0.43,0,0,0
-4,-20,52,0.43,0,0,0
4,-20,53,0.43,0,0,0
12,-20,54,0.43,0,0,0
20,-20,55,0.43,0,0,0
-8,-26,56,0.43,0,0,0
8,-26,57,0.43,0,0,0
