"xod","yod","loc","size","jmangle","jmslope","region"
-8,26,0,1.72,0,0,0
8,26,1,1.72,0,0,0
-20,20,2,1.72,0,0,0
-12,20,3,1.72,0,0,0
-4,20,4,1.72,0,0,0
4,20,5,1.72,0,0,0
12,20,6,1.72,0,0,0
20,20,7,1.72,0,0,0
-4,14,8,1.72,0,0,0
4,14,9,1.72,0,0,0
-20,12,10,1.72,0,0,0
-12,12,11,1.72,0,0,0
12,12,12,1.72,0,0,0
20,12,13,1.72,0,0,0
-8,8,14,1.72,0,0,0
-2,8,15,1.72,0,0,0
2,8,16,1.72,0,0,0
8,8,17,1.72,0,0,0
26,8,18,1.72,0,0,0
-26,4,19,1.72,0,0,0
-20,4,20,1.72,0,0,0
-14,4,21,1.72,0,0,0
-4,4,22,1.72,0,0,0
4,4,23,1.72,0,0,0
22,4,24,1.72,0,0,0
-8,2,25,1.72,0,0,0
-2,2,26,1.72,0,0,0
2,2,27,1.72,0,0,0
8,2,28,1.72,0,0,0
-8,-2,29,1.72,0,0,0
-2,-2,30,1.72,0,0,0
2,-2,31,1.72,0,0,0
8,-2,32,1.72,0,0,0
-26,-4,33,1.72,0,0,0
-20,-4,34,1.72,0,0,0
-14,-4,35,1.72,0,0,0
-4,-4,36,1.72,0,0,0
4,-4,37,1.72,0,0,0
22,-4,38,1.72,0,0,0
-8,-8,39,1.72,0,0,0
-3,-9,40,1.72,0,0,0
3,-9,41,1.72,0,0,0
8,-8,42,1.72,0,0,0
26,-8,43,1.72,0,0,0
-20,-12,44,1.72,0,0,0
-12,-12,45,1.72,0,0,0
12,-12,46,1.72,0,0,0
20,-12,47,1.72,0,0,0
-4,-14,48,1.72,0,0,0
4,-14,49,1.72,0,0,0
-20,-20,50,1.72,0,0,0
-12,-20,51,1.72,0,0,0
-4,-20,52,1.72,0,0,0
4,-20,53,1.72,0,0,0
12,-20,54,1.72,0,0,0
20,-20,55,1.72,0,0,0
-8,-26,56,1.72,0,0,0
8,-26,57,1.72,0,0,0
