"xod","yod","loc","size","jmangle","jmslope","region"
-8,26,0,3.44,0,0,0
8,26,1,3.44,0,0,0
-20,20,2,3.44,0,0,0
-12,20,3,3.44,0,0,0
-4,20,4,3.44,0,0,0
4,20,5,3.44,0,0,0
12,20,6,3.44,0,0,0
20,20,7,3.44,0,0,0
-4,14,8,3.44,0,0,0
4,14,9,3.44,0,0,0
-20,12,10,3.44,0,0,0
-12,12,11,3.44,0,0,0
12,12,12,3.44,0,0,0
20,12,13,3.44,0,0,0
-8,8,14,3.44,0,0,0
-2,8,15,3.44,0,0,0
2,8,16,3.44,0,0,0
8,8,17,3.44,0,0,0
26,8,18,3.44,0,0,0
-26,4,19,3.44,0,0,0
-20,4,20,3.44,0,0,0
-14,4,21,3.44,0,0,0
-4,4,22,3.44,0,0,0
4,4,23,3.44,0,0,0
22,4,24,3.44,0,0,0
-8,2,25,3.44,0,0,0
-2,2,26,3.44,0,0,0
2,2,27,3.44,0,0,0
8,2,28,3.44,0,0,0
-8,-2,29,3.44,0,0,0
-2,-2,30,3.44,0,0,0
2,-2,31,3.44,0,0,0
8,-2,32,3.44,0,0,0
-26,-4,33,3.44,0,0,0
-20,-4,34,3.44,0,0,0
-14,-4,35,3.44,0,0,0
-4,-4,36,3.44,0,0,0
4,-4,37,3.44,0,0,0
22,-4,38,3.44,0,0,0
-8,-8,39,3.44,0,0,0
-3,-9,40,3.44,0,0,0
3,-9,41,3.44,0,0,0
8,-8,42,3.44,0,0,0
26,-8,43,3.44,0,0,0
-20,-12,44,3.44,0,0,0
-12,-12,45,3.44,0,0,0
12,-12,46,3.44,0,0,0
20,-12,47,3.44,0,0,0
-4,-14,48,3.44,0,0,0
4,-14,49,3.44,0,0,0
-20,-20,50,3.44,0,0,0
-12,-20,51,3.44,0,0,0
-4,-20,52,3.44,0,0,0
4,-20,53,3.44,0,0,0
12,-20,54,3.44,0,0,0
20,-20,55,3.44,0,0,0
-8,-26,56,3.44,0,0,0
8,-26,57,3.44,0,0,0
