"xod","yod","loc","size","jmangle","jmslope","region"
-20,20,0,0.43,0,0,0
-12,20,1,0.43,0,0,0
-4,20,2,0.43,0,0,0
4,20,3,0.43,0,0,0
12,20,4,0.43,0,0,0
20,20,5,0.43,0,0,0
-4,14,6,0.43,0,0,0
4,14,7,0.43,0,0,0
-20,12,8,0.43,0,0,0
-12,12,9,0.43,0,0,0
12,12,10,0.43,0,0,0
20,12,11,0.43,0,0,0
-8,8,12,0.43,0,0,0
-2,8,13,0.43,0,0,0
2,8,14,0.43,0,0,0
8,8,15,0.43,0,0,0
24,8,16,0.43,0,0,0
-4,6,17,0.43,0,0,0
4,6,18,0.43,0,0,0
8,6,19,0.43,0,0,0
-26,4,20,0.43,0,0,0
-20,4,21,0.43,0,0,0
-12,4,22,0.43,0,0,0
-8,4,23,0.43,0,0,0
-4,4,24,0.43,0,0,0
4,4,25,0.43,0,0,0
20,4,26,0.43,0,0,0
-6,2,27,0.43,0,0,0
-2,2,28,0.43,0,0,0
2,2,29,0.43,0,0,0
8,2,30,0.43,0,0,0
-6,-2,31,0.43,0,0,0
-2,-2,32,0.43,0,0,0
2,-2,33,0.43,0,0,0
8,-2,34,0.43,0,0,0
-26,-4,35,0.43,0,0,0
-20,-4,36,0.43,0,0,0
-12,-4,37,0.43,0,0,0
-8,-4,38,0.43,0,0,0
-4,-4,39,0.43,0,0,0
4,-4,40,0.43,0,0,0
20,-4,41,0.43,0,0,0
-6,-6,42,0.43,0,0,0
4,-6,43,0.43,0,0,0
8,-6,44,0.43,0,0,0
-8,-8,45,0.43,0,0,0
-2,-8,46,0.43,0,0,0
2,-8,47,0.43,0,0,0
8,-8,48,0.43,0,0,0
24,-8,49,0.43,0,0,0
-18,-12,50,0.43,0,0,0
-12,-12,51,0.43,0,0,0
12,-12,52,0.43,0,0,0
20,-12,53,0.43,0,0,0
-4,-14,54,0.43,0,0,0
4,-14,55,0.43,0,0,0
-18,-20,56,0.43,0,0,0
-12,-20,57,0.43,0,0,0
-4,-20,58,0.43,0,0,0
4,-20,59,0.43,0,0,0
12,-20,60,0.43,0,0,0
20,-20,61,0.43,0,0,0
-8,-26,62,0.43,0,0,0
8,-26,63,0.43,0,0,0
