"xod","yod","loc","size","jmangle","jmslope","region"
-20,20,0,1.77,0,0,0
-12,20,1,1.77,0,0,0
-4,20,2,1.77,0,0,0
4,20,3,1.77,0,0,0
12,20,4,1.77,0,0,0
20,20,5,1.77,0,0,0
-4,14,6,1.77,0,0,0
4,14,7,1.77,0,0,0
-20,12,8,1.77,0,0,0
-12,12,9,1.77,0,0,0
12,12,10,1.77,0,0,0
20,12,11,1.77,0,0,0
-8,8,12,1.77,0,0,0
-2,8,13,1.77,0,0,0
2,8,14,1.77,0,0,0
8,8,15,1.77,0,0,0
24,8,16,1.77,0,0,0
-4,6,17,1.77,0,0,0
4,6,18,1.77,0,0,0
8,6,19,1.77,0,0,0
-26,4,20,1.77,0,0,0
-20,4,21,1.77,0,0,0
-12,4,22,1.77,0,0,0
-8,4,23,1.77,0,0,0
-4,4,24,1.77,0,0,0
4,4,25,1.77,0,0,0
20,4,26,1.77,0,0,0
-6,2,27,1.77,0,0,0
-2,2,28,1.77,0,0,0
2,2,29,1.77,0,0,0
8,2,30,1.77,0,0,0
-6,-2,31,1.77,0,0,0
-2,-2,32,1.77,0,0,0
2,-2,33,1.77,0,0,0
8,-2,34,1.77,0,0,0
-26,-4,35,1.77,0,0,0
-20,-4,36,1.77,0,0,0
-12,-4,37,1.77,0,0,0
-8,-4,38,1.77,0,0,0
-4,-4,39,1.77,0,0,0
4,-4,40,1.77,0,0,0
20,-4,41,1.77,0,0,0
-6,-6,42,1.77,0,0,0
4,-6,43,1.77,0,0,0
8,-6,44,1.77,0,0,0
-8,-8,45,1.77,0,0,0
-2,-8,46,1.77,0,0,0
2,-8,47,1.77,0,0,0
8,-8,48,1.77,0,0,0
24,-8,49,1.77,0,0,0
-18,-12,50,1.77,0,0,0
-12,-12,51,1.77,0,0,0
12,-12,52,1.77,0,0,0
20,-12,53,1.77,0,0,0
-4,-14,54,1.77,0,0,0
4,-14,55,1.77,0,0,0
-18,-20,56,1.77,0,0,0
-12,-20,57,1.77,0,0,0
-4,-20,58,1.77,0,0,0
4,-20,59,1.77,0,0,0
12,-20,60,1.77,0,0,0
20,-20,61,1.77,0,0,0
-8,-26,62,1.77,0,0,0
8,-26,63,1.77,0,0,0
