"xod","yod","loc","size","jmangle","jmslope","region"
-20,20,0,3.44,0,0,0
-12,20,1,3.44,0,0,0
-4,20,2,3.44,0,0,0
4,20,3,3.44,0,0,0
12,20,4,3.44,0,0,0
20,20,5,3.44,0,0,0
-4,14,6,3.44,0,0,0
4,14,7,3.44,0,0,0
-20,12,8,3.44,0,0,0
-12,12,9,3.44,0,0,0
12,12,10,3.44,0,0,0
20,12,11,3.44,0,0,0
-8,8,12,3.44,0,0,0
-2,8,13,3.44,0,0,0
2,8,14,3.44,0,0,0
8,8,15,3.44,0,0,0
24,8,16,3.44,0,0,0
-4,6,17,3.44,0,0,0
4,6,18,3.44,0,0,0
8,6,19,3.44,0,0,0
-26,4,20,3.44,0,0,0
-20,4,21,3.44,0,0,0
-12,4,22,3.44,0,0,0
-8,4,23,3.44,0,0,0
-4,4,24,3.44,0,0,0
4,4,25,3.44,0,0,0
20,4,26,3.44,0,0,0
-6,2,27,3.44,0,0,0
-2,2,28,3.44,0,0,0
2,2,29,3.44,0,0,0
8,2,30,3.44,0,0,0
-6,-2,31,3.44,0,0,0
-2,-2,32,3.44,0,0,0
2,-2,33,3.44,0,0,0
8,-2,34,3.44,0,0,0
-26,-4,35,3.44,0,0,0
-20,-4,36,3.44,0,0,0
-12,-4,37,3.44,0,0,0
-8,-4,38,3.44,0,0,0
-4,-4,39,3.44,0,0,0
4,-4,40,3.44,0,0,0
20,-4,41,3.44,0,0,0
-6,-6,42,3.44,0,0,0
4,-6,43,3.44,0,0,0
8,-6,44,3.44,0,0,0
-8,-8,45,3.44,0,0,0
-2,-8,46,3.44,0,0,0
2,-8,47,3.44,0,0,0
8,-8,48,3.44,0,0,0
24,-8,49,3.44,0,0,0
-18,-12,50,3.44,0,0,0
-12,-12,51,3.44,0,0,0
12,-12,52,3.44,0,0,0
20,-12,53,3.44,0,0,0
-4,-14,54,3.44,0,0,0
4,-14,55,3.44,0,0,0
-18,-20,56,3.44,0,0,0
-12,-20,57,3.44,0,0,0
-4,-20,58,3.44,0,0,0
4,-20,59,3.44,0,0,0
12,-20,60,3.44,0,0,0
20,-20,61,3.44,0,0,0
-8,-26,62,3.44,0,0,0
8,-26,63,3.44,0,0,0
