"xod","yod","loc","size","jmangle","jmslope","region"
-30,20,0,0.43,0,0,0
-20,20,1,0.43,0,0,0
-12,20,2,0.43,0,0,0
-4,20,3,0.43,0,0,0
4,20,4,0.43,0,0,0
12,20,5,0.43,0,0,0
20,20,6,0.43,0,0,0
30,16,7,0.43,0,0,0
42,16,8,0.43,0,0,0
56,16,9,0.43,0,0,0
-4,14,10,0.43,0,0,0
4,14,11,0.43,0,0,0
-40,12,12,0.43,0,0,0
-30,12,13,0.43,0,0,0
-20,12,14,0.43,0,0,0
-12,12,15,0.43,0,0,0
12,12,16,0.43,0,0,0
20,12,17,0.43,0,0,0
-8,8,18,0.43,0,0,0
-2,8,19,0.43,0,0,0
2,8,20,0.43,0,0,0
8,8,21,0.43,0,0,0
24,8,22,0.43,0,0,0
-4,6,23,0.43,0,0,0
4,6,24,0.43,0,0,0
8,6,25,0.43,0,0,0
32,6,26,0.43,0,0,0
42,6,27,0.43,0,0,0
56,6,28,0.43,0,0,0
70,6,29,0.43,0,0,0
-40,4,30,0.43,0,0,0
-32,4,31,0.43,0,0,0
-26,4,32,0.43,0,0,0
-20,4,33,0.43,0,0,0
-12,4,34,0.43,0,0,0
-8,4,35,0.43,0,0,0
-4,4,36,0.43,0,0,0
4,4,37,0.43,0,0,0
20,4,38,0.43,0,0,0
-6,2,39,0.43,0,0,0
-2,2,40,0.43,0,0,0
2,2,41,0.43,0,0,0
8,2,42,0.43,0,0,0
-6,-2,43,0.43,0,0,0
-2,-2,44,0.43,0,0,0
2,-2,45,0.43,0,0,0
8,-2,46,0.43,0,0,0
-40,-4,47,0.43,0,0,0
-32,-4,48,0.43,0,0,0
-26,-4,49,0.43,0,0,0
-20,-4,50,0.43,0,0,0
-12,-4,51,0.43,0,0,0
-8,-4,52,0.43,0,0,0
-4,-4,53,0.43,0,0,0
4,-4,54,0.43,0,0,0
20,-4,55,0.43,0,0,0
-6,-6,56,0.43,0,0,0
4,-6,57,0.43,0,0,0
8,-6,58,0.43,0,0,0
32,-6,59,0.43,0,0,0
42,-6,60,0.43,0,0,0
56,-6,61,0.43,0,0,0
70,-6,62,0.43,0,0,0
-8,-8,63,0.43,0,0,0
-2,-8,64,0.43,0,0,0
2,-8,65,0.43,0,0,0
8,-8,66,0.43,0,0,0
24,-8,67,0.43,0,0,0
-40,-12,68,0.43,0,0,0
-32,-12,69,0.43,0,0,0
-26,-12,70,0.43,0,0,0
-18,-12,71,0.43,0,0,0
-12,-12,72,0.43,0,0,0
12,-12,73,0.43,0,0,0
20,-12,74,0.43,0,0,0
-4,-14,75,0.43,0,0,0
4,-14,76,0.43,0,0,0
30,-14,77,0.43,0,0,0
42,-16,78,0.43,0,0,0
56,-16,79,0.43,0,0,0
70,-16,80,0.43,0,0,0
-32,-20,81,0.43,0,0,0
-26,-20,82,0.43,0,0,0
-18,-20,83,0.43,0,0,0
-12,-20,84,0.43,0,0,0
-4,-20,85,0.43,0,0,0
4,-20,86,0.43,0,0,0
12,-20,87,0.43,0,0,0
20,-20,88,0.43,0,0,0
30,-22,89,0.43,0,0,0
-18,-26,90,0.43,0,0,0
-8,-26,91,0.43,0,0,0
8,-26,92,0.43,0,0,0
42,-26,93,0.43,0,0,0
56,-26,94,0.43,0,0,0
72,-26,95,0.43,0,0,0
-6,-30,96,0.43,0,0,0
6,-30,97,0.43,0,0,0
16,-30,98,0.43,0,0,0
28,-30,99,0.43,0,0,0
38,-34,100,0.43,0,0,0
48,-36,101,0.43,0,0,0
64,-36,102,0.43,0,0,0
26,-38,103,0.43,0,0,0
-6,-40,104,0.43,0,0,0
6,-40,105,0.43,0,0,0
16,-40,106,0.43,0,0,0
38,-44,107,0.43,0,0,0
54,-44,108,0.43,0,0,0
8,-46,109,0.43,0,0,0
16,-46,110,0.43,0,0,0
26,-46,111,0.43,0,0,0
