"xod","yod","loc","size","jmangle","jmslope","region"
-30,20,0,1.77,0,0,0
-20,20,1,1.77,0,0,0
-12,20,2,1.77,0,0,0
-4,20,3,1.77,0,0,0
4,20,4,1.77,0,0,0
12,20,5,1.77,0,0,0
20,20,6,1.77,0,0,0
30,16,7,1.77,0,0,0
42,16,8,1.77,0,0,0
56,16,9,1.77,0,0,0
-4,14,10,1.77,0,0,0
4,14,11,1.77,0,0,0
-40,12,12,1.77,0,0,0
-30,12,13,1.77,0,0,0
-20,12,14,1.77,0,0,0
-12,12,15,1.77,0,0,0
12,12,16,1.77,0,0,0
20,12,17,1.77,0,0,0
-8,8,18,1.77,0,0,0
-2,8,19,1.77,0,0,0
2,8,20,1.77,0,0,0
8,8,21,1.77,0,0,0
24,8,22,1.77,0,0,0
-4,6,23,1.77,0,0,0
4,6,24,1.77,0,0,0
8,6,25,1.77,0,0,0
32,6,26,1.77,0,0,0
42,6,27,1.77,0,0,0
56,6,28,1.77,0,0,0
70,6,29,1.77,0,0,0
-40,4,30,1.77,0,0,0
-32,4,31,1.77,0,0,0
-26,4,32,1.77,0,0,0
-20,4,33,1.77,0,0,0
-12,4,34,1.77,0,0,0
-8,4,35,1.77,0,0,0
-4,4,36,1.77,0,0,0
4,4,37,1.77,0,0,0
20,4,38,1.77,0,0,0
-6,2,39,1.77,0,0,0
-2,2,40,1.77,0,0,0
2,2,41,1.77,0,0,0
8,2,42,1.77,0,0,0
-6,-2,43,1.77,0,0,0
-2,-2,44,1.77,0,0,0
2,-2,45,1.77,0,0,0
8,-2,46,1.77,0,0,0
-40,-4,47,1.77,0,0,0
-32,-4,48,1.77,0,0,0
-26,-4,49,1.77,0,0,0
-20,-4,50,1.77,0,0,0
-12,-4,51,1.77,0,0,0
-8,-4,52,1.77,0,0,0
-4,-4,53,1.77,0,0,0
4,-4,54,1.77,0,0,0
20,-4,55,1.77,0,0,0
-6,-6,56,1.77,0,0,0
4,-6,57,1.77,0,0,0
8,-6,58,1.77,0,0,0
32,-6,59,1.77,0,0,0
42,-6,60,1.77,0,0,0
56,-6,61,1.77,0,0,0
70,-6,62,1.77,0,0,0
-8,-8,63,1.77,0,0,0
-2,-8,64,1.77,0,0,0
2,-8,65,1.77,0,0,0
8,-8,66,1.77,0,0,0
24,-8,67,1.77,0,0,0
-40,-12,68,1.77,0,0,0
-32,-12,69,1.77,0,0,0
-26,-12,70,1.77,0,0,0
-18,-12,71,1.77,0,0,0
-12,-12,72,1.77,0,0,0
12,-12,73,1.77,0,0,0
20,-12,74,1.77,0,0,0
-4,-14,75,1.77,0,0,0
4,-14,76,1.77,0,0,0
30,-14,77,1.77,0,0,0
42,-16,78,1.77,0,0,0
56,-16,79,1.77,0,0,0
70,-16,80,1.77,0,0,0
-32,-20,81,1.77,0,0,0
-26,-20,82,1.77,0,0,0
-18,-20,83,1.77,0,0,0
-12,-20,84,1.77,0,0,0
-4,-20,85,1.77,0,0,0
4,-20,86,1.77,0,0,0
12,-20,87,1.77,0,0,0
20,-20,88,1.77,0,0,0
30,-22,89,1.77,0,0,0
-18,-26,90,1.77,0,0,0
-8,-26,91,1.77,0,0,0
8,-26,92,1.77,0,0,0
42,-26,93,1.77,0,0,0
56,-26,94,1.77,0,0,0
72,-26,95,1.77,0,0,0
-6,-30,96,1.77,0,0,0
6,-30,97,1.77,0,0,0
16,-30,98,1.77,0,0,0
28,-30,99,1.77,0,0,0
38,-34,100,1.77,0,0,0
48,-36,101,1.77,0,0,0
64,-36,102,1.77,0,0,0
26,-38,103,1.77,0,0,0
-6,-40,104,1.77,0,0,0
6,-40,105,1.77,0,0,0
16,-40,106,1.77,0,0,0
38,-44,107,1.77,0,0,0
54,-44,108,1.77,0,0,0
8,-46,109,1.77,0,0,0
16,-46,110,1.77,0,0,0
26,-46,111,1.77,0,0,0
