"xod","yod","loc","size","jmangle","jmslope","region"
-30,20,0,3.44,0,0,0
-20,20,1,3.44,0,0,0
-12,20,2,3.44,0,0,0
-4,20,3,3.44,0,0,0
4,20,4,3.44,0,0,0
12,20,5,3.44,0,0,0
20,20,6,3.44,0,0,0
30,16,7,3.44,0,0,0
42,16,8,3.44,0,0,0
56,16,9,3.44,0,0,0
-4,14,10,3.44,0,0,0
4,14,11,3.44,0,0,0
-40,12,12,3.44,0,0,0
-30,12,13,3.44,0,0,0
-20,12,14,3.44,0,0,0
-12,12,15,3.44,0,0,0
12,12,16,3.44,0,0,0
20,12,17,3.44,0,0,0
-8,8,18,3.44,0,0,0
-2,8,19,3.44,0,0,0
2,8,20,3.44,0,0,0
8,8,21,3.44,0,0,0
24,8,22,3.44,0,0,0
-4,6,23,3.44,0,0,0
4,6,24,3.44,0,0,0
8,6,25,3.44,0,0,0
32,6,26,3.44,0,0,0
42,6,27,3.44,0,0,0
56,6,28,3.44,0,0,0
70,6,29,3.44,0,0,0
-40,4,30,3.44,0,0,0
-32,4,31,3.44,0,0,0
-26,4,32,3.44,0,0,0
-20,4,33,3.44,0,0,0
-12,4,34,3.44,0,0,0
-8,4,35,3.44,0,0,0
-4,4,36,3.44,0,0,0
4,4,37,3.44,0,0,0
20,4,38,3.44,0,0,0
-6,2,39,3.44,0,0,0
-2,2,40,3.44,0,0,0
2,2,41,3.44,0,0,0
8,2,42,3.44,0,0,0
-6,-2,43,3.44,0,0,0
-2,-2,44,3.44,0,0,0
2,-2,45,3.44,0,0,0
8,-2,46,3.44,0,0,0
-40,-4,47,3.44,0,0,0
-32,-4,48,3.44,0,0,0
-26,-4,49,3.44,0,0,0
-20,-4,50,3.44,0,0,0
-12,-4,51,3.44,0,0,0
-8,-4,52,3.44,0,0,0
-4,-4,53,3.44,0,0,0
4,-4,54,3.44,0,0,0
20,-4,55,3.44,0,0,0
-6,-6,56,3.44,0,0,0
4,-6,57,3.44,0,0,0
8,-6,58,3.44,0,0,0
32,-6,59,3.44,0,0,0
42,-6,60,3.44,0,0,0
56,-6,61,3.44,0,0,0
70,-6,62,3.44,0,0,0
-8,-8,63,3.44,0,0,0
-2,-8,64,3.44,0,0,0
2,-8,65,3.44,0,0,0
8,-8,66,3.44,0,0,0
24,-8,67,3.44,0,0,0
-40,-12,68,3.44,0,0,0
-32,-12,69,3.44,0,0,0
-26,-12,70,3.44,0,0,0
-18,-12,71,3.44,0,0,0
-12,-12,72,3.44,0,0,0
12,-12,73,3.44,0,0,0
20,-12,74,3.44,0,0,0
-4,-14,75,3.44,0,0,0
4,-14,76,3.44,0,0,0
30,-14,77,3.44,0,0,0
42,-16,78,3.44,0,0,0
56,-16,79,3.44,0,0,0
70,-16,80,3.44,0,0,0
-32,-20,81,3.44,0,0,0
-26,-20,82,3.44,0,0,0
-18,-20,83,3.44,0,0,0
-12,-20,84,3.44,0,0,0
-4,-20,85,3.44,0,0,0
4,-20,86,3.44,0,0,0
12,-20,87,3.44,0,0,0
20,-20,88,3.44,0,0,0
30,-22,89,3.44,0,0,0
-18,-26,90,3.44,0,0,0
-8,-26,91,3.44,0,0,0
8,-26,92,3.44,0,0,0
42,-26,93,3.44,0,0,0
56,-26,94,3.44,0,0,0
72,-26,95,3.44,0,0,0
-6,-30,96,3.44,0,0,0
6,-30,97,3.44,0,0,0
16,-30,98,3.44,0,0,0
28,-30,99,3.44,0,0,0
38,-34,100,3.44,0,0,0
48,-36,101,3.44,0,0,0
64,-36,102,3.44,0,0,0
26,-38,103,3.44,0,0,0
-6,-40,104,3.44,0,0,0
6,-40,105,3.44,0,0,0
16,-40,106,3.44,0,0,0
38,-44,107,3.44,0,0,0
54,-44,108,3.44,0,0,0
8,-46,109,3.44,0,0,0
16,-46,110,3.44,0,0,0
26,-46,111,3.44,0,0,0
