"xod","yod","loc","size","jmangle","jmslope","region"
-30,20,0,0.43,0,0,0
30,16,1,0.43,0,0,0
42,16,2,0.43,0,0,0
56,16,3,0.43,0,0,0
-40,12,4,0.43,0,0,0
-30,12,5,0.43,0,0,0
32,6,6,0.43,0,0,0
42,6,7,0.43,0,0,0
56,6,8,0.43,0,0,0
70,6,9,0.43,0,0,0
-40,4,10,0.43,0,0,0
-32,4,11,0.43,0,0,0
-40,-4,12,0.43,0,0,0
-32,-4,13,0.43,0,0,0
32,-6,14,0.43,0,0,0
42,-6,15,0.43,0,0,0
56,-6,16,0.43,0,0,0
70,-6,17,0.43,0,0,0
-40,-12,18,0.43,0,0,0
-32,-12,19,0.43,0,0,0
-26,-12,20,0.43,0,0,0
30,-14,21,0.43,0,0,0
42,-16,22,0.43,0,0,0
56,-16,23,0.43,0,0,0
70,-16,24,0.43,0,0,0
-32,-20,25,0.43,0,0,0
-26,-20,26,0.43,0,0,0
30,-22,27,0.43,0,0,0
-18,-26,28,0.43,0,0,0
42,-26,29,0.43,0,0,0
56,-26,30,0.43,0,0,0
72,-26,31,0.43,0,0,0
-6,-30,32,0.43,0,0,0
6,-30,33,0.43,0,0,0
16,-30,34,0.43,0,0,0
28,-30,35,0.43,0,0,0
38,-34,36,0.43,0,0,0
48,-36,37,0.43,0,0,0
64,-36,38,0.43,0,0,0
26,-38,39,0.43,0,0,0
-6,-40,40,0.43,0,0,0
6,-40,41,0.43,0,0,0
16,-40,42,0.43,0,0,0
38,-44,43,0.43,0,0,0
54,-44,44,0.43,0,0,0
8,-46,45,0.43,0,0,0
16,-46,46,0.43,0,0,0
26,-46,47,0.43,0,0,0
