"xod","yod","loc","size","jmangle","jmslope","region"
-20,26,0,1.77,0,0,0
-8,26,1,1.77,0,0,0
8,26,2,1.77,0,0,0
20,26,3,1.77,0,0,0
30,26,4,1.77,0,0,0
42,26,5,1.77,0,0,0
-40,20,6,1.77,0,0,0
-30,20,7,1.77,0,0,0
30,16,8,1.77,0,0,0
42,16,9,1.77,0,0,0
56,16,10,1.77,0,0,0
70,16,11,1.77,0,0,0
-40,12,12,1.77,0,0,0
-30,12,13,1.77,0,0,0
-50,10,14,1.77,0,0,0
32,6,15,1.77,0,0,0
42,6,16,1.77,0,0,0
56,6,17,1.77,0,0,0
70,6,18,1.77,0,0,0
80,6,19,1.77,0,0,0
-50,4,20,1.77,0,0,0
-40,4,21,1.77,0,0,0
-32,4,22,1.77,0,0,0
-50,-4,23,1.77,0,0,0
-40,-4,24,1.77,0,0,0
-32,-4,25,1.77,0,0,0
32,-6,26,1.77,0,0,0
42,-6,27,1.77,0,0,0
56,-6,28,1.77,0,0,0
70,-6,29,1.77,0,0,0
-50,-10,30,1.77,0,0,0
80,-10,31,1.77,0,0,0
-40,-12,32,1.77,0,0,0
-32,-12,33,1.77,0,0,0
-26,-12,34,1.77,0,0,0
30,-14,35,1.77,0,0,0
42,-16,36,1.77,0,0,0
56,-16,37,1.77,0,0,0
70,-16,38,1.77,0,0,0
-40,-20,39,1.77,0,0,0
-32,-20,40,1.77,0,0,0
-26,-20,41,1.77,0,0,0
30,-22,42,1.77,0,0,0
-18,-26,43,1.77,0,0,0
42,-26,44,1.77,0,0,0
56,-26,45,1.77,0,0,0
72,-26,46,1.77,0,0,0
-6,-30,47,1.77,0,0,0
6,-30,48,1.77,0,0,0
16,-30,49,1.77,0,0,0
28,-30,50,1.77,0,0,0
38,-34,51,1.77,0,0,0
48,-36,52,1.77,0,0,0
64,-36,53,1.77,0,0,0
26,-38,54,1.77,0,0,0
-6,-40,55,1.77,0,0,0
6,-40,56,1.77,0,0,0
16,-40,57,1.77,0,0,0
38,-44,58,1.77,0,0,0
54,-44,59,1.77,0,0,0
-8,-46,60,1.77,0,0,0
8,-46,61,1.77,0,0,0
16,-46,62,1.77,0,0,0
26,-46,63,1.77,0,0,0
