"xod","yod","loc","size","jmangle","jmslope","region"
-30,20,0,1.77,0,0,0
30,16,1,1.77,0,0,0
42,16,2,1.77,0,0,0
56,16,3,1.77,0,0,0
-40,12,4,1.77,0,0,0
-30,12,5,1.77,0,0,0
32,6,6,1.77,0,0,0
42,6,7,1.77,0,0,0
56,6,8,1.77,0,0,0
70,6,9,1.77,0,0,0
-40,4,10,1.77,0,0,0
-32,4,11,1.77,0,0,0
-40,-4,12,1.77,0,0,0
-32,-4,13,1.77,0,0,0
32,-6,14,1.77,0,0,0
42,-6,15,1.77,0,0,0
56,-6,16,1.77,0,0,0
70,-6,17,1.77,0,0,0
-40,-12,18,1.77,0,0,0
-32,-12,19,1.77,0,0,0
-26,-12,20,1.77,0,0,0
30,-14,21,1.77,0,0,0
42,-16,22,1.77,0,0,0
56,-16,23,1.77,0,0,0
70,-16,24,1.77,0,0,0
-32,-20,25,1.77,0,0,0
-26,-20,26,1.77,0,0,0
30,-22,27,1.77,0,0,0
-18,-26,28,1.77,0,0,0
42,-26,29,1.77,0,0,0
56,-26,30,1.77,0,0,0
72,-26,31,1.77,0,0,0
-6,-30,32,1.77,0,0,0
6,-30,33,1.77,0,0,0
16,-30,34,1.77,0,0,0
28,-30,35,1.77,0,0,0
38,-34,36,1.77,0,0,0
48,-36,37,1.77,0,0,0
64,-36,38,1.77,0,0,0
26,-38,39,1.77,0,0,0
-6,-40,40,1.77,0,0,0
6,-40,41,1.77,0,0,0
16,-40,42,1.77,0,0,0
38,-44,43,1.77,0,0,0
54,-44,44,1.77,0,0,0
8,-46,45,1.77,0,0,0
16,-46,46,1.77,0,0,0
26,-46,47,1.77,0,0,0
