"xod","yod","loc","size","jmangle","jmslope","region"
-30,20,0,3.44,0,0,0
30,16,1,3.44,0,0,0
42,16,2,3.44,0,0,0
56,16,3,3.44,0,0,0
-40,12,4,3.44,0,0,0
-30,12,5,3.44,0,0,0
32,6,6,3.44,0,0,0
42,6,7,3.44,0,0,0
56,6,8,3.44,0,0,0
70,6,9,3.44,0,0,0
-40,4,10,3.44,0,0,0
-32,4,11,3.44,0,0,0
-40,-4,12,3.44,0,0,0
-32,-4,13,3.44,0,0,0
32,-6,14,3.44,0,0,0
42,-6,15,3.44,0,0,0
56,-6,16,3.44,0,0,0
70,-6,17,3.44,0,0,0
-40,-12,18,3.44,0,0,0
-32,-12,19,3.44,0,0,0
-26,-12,20,3.44,0,0,0
30,-14,21,3.44,0,0,0
42,-16,22,3.44,0,0,0
56,-16,23,3.44,0,0,0
70,-16,24,3.44,0,0,0
-32,-20,25,3.44,0,0,0
-26,-20,26,3.44,0,0,0
30,-22,27,3.44,0,0,0
-18,-26,28,3.44,0,0,0
42,-26,29,3.44,0,0,0
56,-26,30,3.44,0,0,0
72,-26,31,3.44,0,0,0
-6,-30,32,3.44,0,0,0
6,-30,33,3.44,0,0,0
16,-30,34,3.44,0,0,0
28,-30,35,3.44,0,0,0
38,-34,36,3.44,0,0,0
48,-36,37,3.44,0,0,0
64,-36,38,3.44,0,0,0
26,-38,39,3.44,0,0,0
-6,-40,40,3.44,0,0,0
6,-40,41,3.44,0,0,0
16,-40,42,3.44,0,0,0
38,-44,43,3.44,0,0,0
54,-44,44,3.44,0,0,0
8,-46,45,3.44,0,0,0
16,-46,46,3.44,0,0,0
26,-46,47,3.44,0,0,0
