"xod","yod","loc","size","jmangle","jmslope","region"
-21,33,0,1.72,0,0,0
-3,33,1,1.72,0,0,0
3,33,2,1.72,0,0,0
21,33,3,1.72,0,0,0
-21,27,4,1.72,0,0,0
21,27,5,1.72,0,0,0
33,27,6,1.72,0,0,0
45,27,7,1.72,0,0,0
57,27,8,1.72,0,0,0
-39,21,9,1.72,0,0,0
-27,21,10,1.72,0,0,0
27,21,11,1.72,0,0,0
39,21,12,1.72,0,0,0
51,21,13,1.72,0,0,0
63,21,14,1.72,0,0,0
75,21,15,1.72,0,0,0
-45,15,16,1.72,0,0,0
-33,15,17,1.72,0,0,0
33,15,18,1.72,0,0,0
45,15,19,1.72,0,0,0
57,15,20,1.72,0,0,0
69,15,21,1.72,0,0,0
-51,9,22,1.72,0,0,0
-39,9,23,1.72,0,0,0
39,9,24,1.72,0,0,0
51,9,25,1.72,0,0,0
63,9,26,1.72,0,0,0
81,9,27,1.72,0,0,0
-51,3,28,1.72,0,0,0
-39,3,29,1.72,0,0,0
39,3,30,1.72,0,0,0
51,3,31,1.72,0,0,0
69,3,32,1.72,0,0,0
87,3,33,1.72,0,0,0
-51,-3,34,1.72,0,0,0
-39,-3,35,1.72,0,0,0
39,-3,36,1.72,0,0,0
51,-3,37,1.72,0,0,0
69,-3,38,1.72,0,0,0
87,-3,39,1.72,0,0,0
-51,-9,40,1.72,0,0,0
-39,-9,41,1.72,0,0,0
39,-9,42,1.72,0,0,0
51,-9,43,1.72,0,0,0
63,-9,44,1.72,0,0,0
81,-9,45,1.72,0,0,0
-45,-15,46,1.72,0,0,0
-33,-15,47,1.72,0,0,0
33,-15,48,1.72,0,0,0
45,-15,49,1.72,0,0,0
57,-15,50,1.72,0,0,0
69,-15,51,1.72,0,0,0
81,-15,52,1.72,0,0,0
-39,-21,53,1.72,0,0,0
-27,-21,54,1.72,0,0,0
27,-21,55,1.72,0,0,0
39,-21,56,1.72,0,0,0
51,-21,57,1.72,0,0,0
63,-21,58,1.72,0,0,0
75,-21,59,1.72,0,0,0
-33,-27,60,1.72,0,0,0
-21,-27,61,1.72,0,0,0
21,-27,62,1.72,0,0,0
33,-27,63,1.72,0,0,0
45,-27,64,1.72,0,0,0
57,-27,65,1.72,0,0,0
81,-27,66,1.72,0,0,0
-27,-33,67,1.72,0,0,0
-15,-33,68,1.72,0,0,0
15,-33,69,1.72,0,0,0
27,-33,70,1.72,0,0,0
63,-33,71,1.72,0,0,0
75,-33,72,1.72,0,0,0
-21,-39,73,1.72,0,0,0
-3,-39,74,1.72,0,0,0
3,-39,75,1.72,0,0,0
21,-39,76,1.72,0,0,0
39,-39,77,1.72,0,0,0
51,-39,78,1.72,0,0,0
45,-45,79,1.72,0,0,0
-15,-51,80,1.72,0,0,0
-3,-51,81,1.72,0,0,0
3,-51,82,1.72,0,0,0
15,-51,83,1.72,0,0,0
