"xod","yod","loc","size","jmangle","jmslope","region"
-21,33,0,3.44,0,0,0
-3,33,1,3.44,0,0,0
3,33,2,3.44,0,0,0
21,33,3,3.44,0,0,0
-21,27,4,3.44,0,0,0
21,27,5,3.44,0,0,0
33,27,6,3.44,0,0,0
45,27,7,3.44,0,0,0
57,27,8,3.44,0,0,0
-39,21,9,3.44,0,0,0
-27,21,10,3.44,0,0,0
27,21,11,3.44,0,0,0
39,21,12,3.44,0,0,0
51,21,13,3.44,0,0,0
63,21,14,3.44,0,0,0
75,21,15,3.44,0,0,0
-45,15,16,3.44,0,0,0
-33,15,17,3.44,0,0,0
33,15,18,3.44,0,0,0
45,15,19,3.44,0,0,0
57,15,20,3.44,0,0,0
69,15,21,3.44,0,0,0
-51,9,22,3.44,0,0,0
-39,9,23,3.44,0,0,0
39,9,24,3.44,0,0,0
51,9,25,3.44,0,0,0
63,9,26,3.44,0,0,0
81,9,27,3.44,0,0,0
-51,3,28,3.44,0,0,0
-39,3,29,3.44,0,0,0
39,3,30,3.44,0,0,0
51,3,31,3.44,0,0,0
69,3,32,3.44,0,0,0
87,3,33,3.44,0,0,0
-51,-3,34,3.44,0,0,0
-39,-3,35,3.44,0,0,0
39,-3,36,3.44,0,0,0
51,-3,37,3.44,0,0,0
69,-3,38,3.44,0,0,0
87,-3,39,3.44,0,0,0
-51,-9,40,3.44,0,0,0
-39,-9,41,3.44,0,0,0
39,-9,42,3.44,0,0,0
51,-9,43,3.44,0,0,0
63,-9,44,3.44,0,0,0
81,-9,45,3.44,0,0,0
-45,-15,46,3.44,0,0,0
-33,-15,47,3.44,0,0,0
33,-15,48,3.44,0,0,0
45,-15,49,3.44,0,0,0
57,-15,50,3.44,0,0,0
69,-15,51,3.44,0,0,0
81,-15,52,3.44,0,0,0
-39,-21,53,3.44,0,0,0
-27,-21,54,3.44,0,0,0
27,-21,55,3.44,0,0,0
39,-21,56,3.44,0,0,0
51,-21,57,3.44,0,0,0
63,-21,58,3.44,0,0,0
75,-21,59,3.44,0,0,0
-33,-27,60,3.44,0,0,0
-21,-27,61,3.44,0,0,0
21,-27,62,3.44,0,0,0
33,-27,63,3.44,0,0,0
45,-27,64,3.44,0,0,0
57,-27,65,3.44,0,0,0
81,-27,66,3.44,0,0,0
-27,-33,67,3.44,0,0,0
-15,-33,68,3.44,0,0,0
15,-33,69,3.44,0,0,0
27,-33,70,3.44,0,0,0
63,-33,71,3.44,0,0,0
75,-33,72,3.44,0,0,0
-21,-39,73,3.44,0,0,0
-3,-39,74,3.44,0,0,0
3,-39,75,3.44,0,0,0
21,-39,76,3.44,0,0,0
39,-39,77,3.44,0,0,0
51,-39,78,3.44,0,0,0
45,-45,79,3.44,0,0,0
-15,-51,80,3.44,0,0,0
-3,-51,81,3.44,0,0,0
3,-51,82,3.44,0,0,0
15,-51,83,3.44,0,0,0
